filepath,clean,damaged
data\raw\dummy_000.png,1,1
data\raw\dummy_001.png,0,1
data\raw\dummy_002.png,0,1
data\raw\dummy_003.png,0,0
data\raw\dummy_004.png,1,0
data\raw\dummy_005.png,0,1
data\raw\dummy_006.png,0,1
data\raw\dummy_007.png,1,0
data\raw\dummy_008.png,0,0
data\raw\dummy_009.png,0,0
data\raw\dummy_010.png,1,1
data\raw\dummy_011.png,1,0
data\raw\dummy_012.png,0,1
data\raw\dummy_013.png,1,1
data\raw\dummy_014.png,0,1
data\raw\dummy_015.png,0,1
data\raw\dummy_016.png,1,1
data\raw\dummy_017.png,1,0
data\raw\dummy_018.png,1,0
data\raw\dummy_019.png,1,0
data\raw\dummy_020.png,1,0
data\raw\dummy_021.png,1,0
data\raw\dummy_022.png,0,0
data\raw\dummy_023.png,1,0
data\raw\dummy_024.png,0,1
data\raw\dummy_025.png,1,1
data\raw\dummy_026.png,0,0
data\raw\dummy_027.png,0,0
data\raw\dummy_028.png,1,1
data\raw\dummy_029.png,1,0
data\raw\dummy_030.png,0,0
data\raw\dummy_031.png,0,1
data\raw\dummy_032.png,0,1
data\raw\dummy_033.png,0,1
data\raw\dummy_034.png,0,1
data\raw\dummy_035.png,1,0
data\raw\dummy_036.png,1,0
data\raw\dummy_037.png,0,0
data\raw\dummy_038.png,1,0
data\raw\dummy_039.png,0,0
data\raw\dummy_040.png,1,1
data\raw\dummy_041.png,0,0
data\raw\dummy_042.png,1,0
data\raw\dummy_043.png,0,1
data\raw\dummy_044.png,0,0
data\raw\dummy_045.png,1,0
data\raw\dummy_046.png,0,1
data\raw\dummy_047.png,0,0
data\raw\dummy_048.png,0,1
data\raw\dummy_049.png,0,1
data\raw\dummy_050.png,0,1
data\raw\dummy_051.png,1,1
data\raw\dummy_052.png,1,1
data\raw\dummy_053.png,1,0
data\raw\dummy_054.png,0,0
data\raw\dummy_055.png,0,0
data\raw\dummy_056.png,1,0
data\raw\dummy_057.png,0,1
data\raw\dummy_058.png,1,0
data\raw\dummy_059.png,0,1
